date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:55	55165/55165	---M-Z	200	added ('OK')	text/html	etag:%22d77d-5ec8617301296-gzip%22	https://www.usfoods.com/	C:/My%20Web%20Sites/hing/www.usfoods.com/index.html	(from )
19:17:55	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Nov%202022%2006:37:46%20GMT	https://www.usfoods.com/robots.txt		(from )
19:17:56	37535/37535	---M-Z	404	error ('Not%20Found')	text/html	etag:%22929f-5ec86e0905965-gzip%22	https://www.usfoods.com/etc.clientlibs/usfoods-dce/clientlibs/clientlib-site/source/fonts/dce-icons/resources/dce-icons.ttf	C:/My%20Web%20Sites/hing/www.usfoods.com/etc.clientlibs/usfoods-dce/clientlibs/clientlib-site/source/fonts/dce-icons/resources/dce-icons.ttf	(from https://www.usfoods.com/)
19:17:57	11452/11452	---M-Z	200	added ('OK')	text/css	etag:%222cbc-5db5e1ab48440-gzip%22	https://www.usfoods.com/etc.clientlibs/foundation/clientlibs/main.min.cd338c6cc648fa4aec397b735c0c33a7.css	C:/My%20Web%20Sites/hing/www.usfoods.com/etc.clientlibs/foundation/clientlibs/main.min.cd338c6cc648fa4aec397b735c0c33a7.css	(from https://www.usfoods.com/)
19:17:57	100794/100794	---M-Z	200	added ('OK')	application/javascript	etag:%22189ba-5db5e3418c2c0-gzip%22	https://www.usfoods.com/etc.clientlibs/clientlibs/granite/jquery.min.e8b3debede90df40df8881108ba067d8.js	C:/My%20Web%20Sites/hing/www.usfoods.com/etc.clientlibs/clientlibs/granite/jquery.min.e8b3debede90df40df8881108ba067d8.js	(from https://www.usfoods.com/)
19:17:58	8118/8118	---M-Z	200	added ('OK')	application/javascript	etag:%221fb6-5db5e3418c2c0-gzip%22	https://www.usfoods.com/etc.clientlibs/clientlibs/granite/utils.min.4a192b590a2c2926fb000264370c0588.js	C:/My%20Web%20Sites/hing/www.usfoods.com/etc.clientlibs/clientlibs/granite/utils.min.4a192b590a2c2926fb000264370c0588.js	(from https://www.usfoods.com/)
19:17:59	3681/3681	---M-Z	200	added ('OK')	application/javascript	etag:%22e61-5db5e1842e800-gzip%22	https://www.usfoods.com/etc.clientlibs/clientlibs/granite/jquery/granite.min.543d214c88dfa6f4a3233b630c82d875.js	C:/My%20Web%20Sites/hing/www.usfoods.com/etc.clientlibs/clientlibs/granite/jquery/granite.min.543d214c88dfa6f4a3233b630c82d875.js	(from https://www.usfoods.com/)
19:17:59	16/16	---M--	200	added ('OK')	application/javascript	etag:%2210-5db5e19ee2700%22	https://www.usfoods.com/etc.clientlibs/foundation/clientlibs/jquery.min.dd9b395c741ce2784096e26619e14910.js	C:/My%20Web%20Sites/hing/www.usfoods.com/etc.clientlibs/foundation/clientlibs/jquery.min.dd9b395c741ce2784096e26619e14910.js	(from https://www.usfoods.com/)
19:18:00	19978/19978	---M-Z	200	added ('OK')	application/javascript	etag:%224e0a-5db5e19ee2700-gzip%22	https://www.usfoods.com/etc.clientlibs/foundation/clientlibs/shared.min.9f3716b2c473fd53ab31b1caa53131a8.js	C:/My%20Web%20Sites/hing/www.usfoods.com/etc.clientlibs/foundation/clientlibs/shared.min.9f3716b2c473fd53ab31b1caa53131a8.js	(from https://www.usfoods.com/)
19:18:00	22270/22270	---M-Z	200	added ('OK')	application/javascript	etag:%2256fe-5db5e1a0cab80-gzip%22	https://www.usfoods.com/etc.clientlibs/foundation/clientlibs/main.min.a6faafbeed24f5d40aaf367c778753ab.js	C:/My%20Web%20Sites/hing/www.usfoods.com/etc.clientlibs/foundation/clientlibs/main.min.a6faafbeed24f5d40aaf367c778753ab.js	(from https://www.usfoods.com/)
